order_id,order_date,city,state,category,quantity,payment_mode,delivery_type,unit_price,discount_percent,final_price,order_value,delivery_days,customer_rating,is_returned,profit
100001,2025-05-10,Delhi,Delhi,Flowering Plant,2,COD,Standard,553,5.0,525.35,1050.7,5,4.5,No,279.21
100002,2025-12-31,Bhopal,Madhya Pradesh,Outdoor Plant,4,COD,Standard,588,15.0,499.8,1999.2,6,3.3,Yes,696.34
100003,2025-11-10,Mumbai,Maharashtra,Tool,2,COD,Standard,425,5.0,403.75,807.5,6,4.0,No,168.98
100004,2023-05-02,Jaipur,Rajasthan,Outdoor Plant,3,COD,Express,576,0.0,576.0,1728.0,2,3.8,No,458.81
100005,2024-04-11,Bengaluru,Karnataka,Succulent,1,COD,Standard,322,0.0,322.0,322.0,7,3.6,Yes,48.62
100006,2023-11-27,Jaipur,Rajasthan,Soil & Fertilizer,3,UPI,Express,313,20.0,250.4,751.2,2,2.3,No,243.13
100007,2023-03-29,Nagpur,Maharashtra,Pot,1,COD,Express,326,15.0,277.09999999999997,277.09999999999997,2,4.8,No,87.88
100008,2025-05-21,Chennai,Tamil Nadu,Soil & Fertilizer,4,COD,Express,295,10.0,265.5,1062.0,1,4.3,No,369.8
100009,2023-05-11,Bengaluru,Karnataka,Soil & Fertilizer,2,COD,Express,234,10.0,210.6,421.2,2,3.4,No,113.3
100010,2025-02-08,Bengaluru,Karnataka,Pot,3,COD,Standard,397,15.0,337.45,1012.3499999999999,7,5.0,No,206.74
100011,2023-12-10,Indore,Madhya Pradesh,Indoor Plant,3,COD,Standard,461,0.0,461.0,1383.0,6,4.4,No,456.33
100012,2025-03-16,Jaipur,Rajasthan,Flowering Plant,1,COD,Standard,565,5.0,536.75,536.75,8,3.4,No,167.7
100013,2024-01-21,Bengaluru,Karnataka,Succulent,2,Card,Express,367,0.0,367.0,734.0,3,4.8,No,123.44
100014,2025-08-13,Chennai,Tamil Nadu,Pot,3,UPI,Standard,335,5.0,318.25,954.75,7,3.6,No,296.68
100015,2023-10-04,Chennai,Tamil Nadu,Outdoor Plant,3,UPI,Express,594,5.0,564.3,1692.8999999999999,2,3.3,No,280.21
100016,2024-04-04,Mumbai,Maharashtra,Succulent,2,Card,Standard,279,25.0,209.25,418.5,8,4.0,Yes,109.87
100017,2023-01-22,Pune,Maharashtra,Indoor Plant,4,UPI,Express,413,0.0,413.0,1652.0,2,4.0,No,329.61
100018,2023-09-10,Bengaluru,Karnataka,Succulent,1,UPI,Express,364,10.0,327.6,327.6,3,4.1,No,113.15
100019,2025-01-17,Chennai,Tamil Nadu,Pot,3,UPI,Standard,338,15.0,287.3,861.9000000000001,8,3.7,No,183.89
100020,2025-05-06,Chennai,Tamil Nadu,Tool,2,UPI,Express,538,25.0,403.5,807.0,1,4.4,No,162.41
100021,2024-04-19,Mumbai,Maharashtra,Indoor Plant,4,Card,Standard,439,25.0,329.25,1317.0,6,3.1,No,306.88
100022,2025-12-18,Indore,Madhya Pradesh,Soil & Fertilizer,3,COD,Express,225,0.0,225.0,675.0,3,3.7,No,226.81
100023,2024-05-25,Pune,Maharashtra,Outdoor Plant,4,COD,Express,563,0.0,563.0,2252.0,2,4.1,No,549.77
100024,2024-11-30,Hyderabad,Telangana,Outdoor Plant,3,COD,Express,558,25.0,418.5,1255.5,1,3.6,No,260.83
100025,2025-09-02,Bengaluru,Karnataka,Pot,3,Card,Standard,379,5.0,360.05,1080.15,6,4.4,Yes,357.65
100026,2023-07-09,Hyderabad,Telangana,Indoor Plant,4,COD,Standard,442,0.0,442.0,1768.0,8,4.6,No,581.74
100027,2025-08-15,Hyderabad,Telangana,Outdoor Plant,1,Card,Express,586,25.0,439.5,439.5,3,4.2,No,114.88
100028,2024-11-17,Nagpur,Maharashtra,Indoor Plant,4,COD,Express,452,10.0,406.8,1627.2,3,3.3,No,248.76
100029,2025-08-15,Indore,Madhya Pradesh,Succulent,2,COD,Standard,263,5.0,249.85,499.7,3,3.0,No,91.84
100030,2024-07-16,Nagpur,Maharashtra,Tool,3,COD,Standard,520,0.0,520.0,1560.0,8,3.9,Yes,411.32
100031,2025-04-11,Jaipur,Rajasthan,Flowering Plant,4,UPI,Standard,695,10.0,625.5,2502.0,6,3.9,No,496.19
100032,2024-10-08,Bhopal,Madhya Pradesh,Flowering Plant,4,UPI,Standard,616,5.0,585.1999999999999,2340.7999999999997,5,5.0,No,612.89
100033,2023-01-21,Mumbai,Maharashtra,Flowering Plant,3,COD,Express,691,25.0,518.25,1554.75,1,3.8,No,259.89
100034,2025-04-20,Chennai,Tamil Nadu,Outdoor Plant,3,UPI,Standard,463,5.0,439.84999999999997,1319.55,3,4.1,No,342.2
100035,2023-06-16,Chennai,Tamil Nadu,Pot,4,COD,Standard,395,0.0,395.0,1580.0,3,3.9,No,411.91
100036,2024-01-23,Pune,Maharashtra,Flowering Plant,1,UPI,Express,561,5.0,532.9499999999999,532.9499999999999,3,3.3,No,174.07
100037,2024-08-23,Indore,Madhya Pradesh,Soil & Fertilizer,3,UPI,Standard,257,10.0,231.3,693.9000000000001,6,3.9,No,164.57
100038,2023-11-12,Chennai,Tamil Nadu,Tool,4,Card,Standard,411,5.0,390.45,1561.8,6,4.9,Yes,425.87
100039,2023-01-14,Nagpur,Maharashtra,Pot,2,Card,Standard,355,5.0,337.25,674.5,7,3.4,No,122.03
100040,2023-08-30,Bhopal,Madhya Pradesh,Tool,1,UPI,Standard,438,5.0,416.09999999999997,416.09999999999997,8,4.4,No,135.43
100041,2025-02-15,Nagpur,Maharashtra,Flowering Plant,2,COD,Standard,642,20.0,513.6,1027.2,4,4.8,No,212.57
100042,2024-07-18,Hyderabad,Telangana,Succulent,3,Card,Express,348,15.0,295.8,887.4000000000001,3,3.7,No,277.49
100043,2025-06-16,Jaipur,Rajasthan,Tool,3,COD,Standard,429,10.0,386.1,1158.3000000000002,8,3.9,No,401.34
100044,2023-04-02,Chennai,Tamil Nadu,Flowering Plant,1,UPI,Standard,561,10.0,504.90000000000003,504.90000000000003,7,3.8,No,133.67
100045,2025-08-13,Hyderabad,Telangana,Pot,3,COD,Express,322,0.0,322.0,966.0,1,5.0,No,165.88
100046,2024-05-23,Chennai,Tamil Nadu,Outdoor Plant,2,COD,Express,541,20.0,432.8,865.6,2,4.1,No,191.58
100047,2025-02-14,Bengaluru,Karnataka,Tool,4,UPI,Standard,454,0.0,454.0,1816.0,8,3.9,No,479.32
100048,2023-02-04,Delhi,Delhi,Soil & Fertilizer,4,COD,Standard,244,0.0,244.0,976.0,5,4.1,No,230.24
100049,2023-07-25,Mumbai,Maharashtra,Succulent,2,Card,Express,375,10.0,337.5,675.0,1,4.7,No,201.83
100050,2025-10-22,Mumbai,Maharashtra,Pot,2,UPI,Standard,300,0.0,300.0,600.0,5,3.9,No,205.1
100051,2025-10-18,Chennai,Tamil Nadu,Indoor Plant,3,UPI,Standard,402,15.0,341.7,1025.1,5,4.0,No,188.18
100052,2024-07-19,Bhopal,Madhya Pradesh,Flowering Plant,3,COD,Standard,628,10.0,565.2,1695.6000000000001,7,3.3,No,444.83
100053,2024-12-03,Indore,Madhya Pradesh,Succulent,1,COD,Express,276,10.0,248.4,248.4,3,2.4,No,52.68
100054,2024-02-06,Pune,Maharashtra,Outdoor Plant,4,UPI,Express,538,25.0,403.5,1614.0,2,3.1,No,349.9
100055,2024-12-30,Bhopal,Madhya Pradesh,Tool,1,UPI,Standard,494,15.0,419.9,419.9,8,,No,94.2
100056,2023-06-11,Indore,Madhya Pradesh,Indoor Plant,2,UPI,Standard,454,15.0,385.9,771.8,4,3.8,No,201.38
100057,2023-07-21,Bhopal,Madhya Pradesh,Tool,2,COD,Express,531,15.0,451.34999999999997,902.6999999999999,2,3.6,No,171.76
100058,2025-09-22,Bengaluru,Karnataka,Flowering Plant,1,UPI,Standard,565,5.0,536.75,536.75,3,4.4,No,181.75
100059,2023-09-27,Bhopal,Madhya Pradesh,Succulent,1,UPI,Express,396,0.0,396.0,396.0,1,4.5,No,116.85
100060,2025-03-26,Pune,Maharashtra,Soil & Fertilizer,4,UPI,Standard,291,10.0,261.90000000000003,1047.6000000000001,8,4.7,No,173.56
100061,2024-03-31,Mumbai,Maharashtra,Pot,2,UPI,Standard,380,10.0,342.0,684.0,5,4.0,No,149.83
100062,2025-10-13,Bhopal,Madhya Pradesh,Tool,1,Card,Standard,548,0.0,548.0,548.0,4,4.5,Yes,151.13
100063,2023-10-23,Nagpur,Maharashtra,Flowering Plant,4,UPI,Standard,601,20.0,480.8,1923.2,6,3.5,No,644.07
100064,2024-12-20,Indore,Madhya Pradesh,Succulent,3,COD,Standard,320,10.0,288.0,864.0,4,4.8,No,207.86
100065,2023-12-04,Jaipur,Rajasthan,Flowering Plant,3,UPI,Standard,594,10.0,534.6,1603.8000000000002,4,4.5,No,337.68
100066,2025-05-28,Indore,Madhya Pradesh,Soil & Fertilizer,4,UPI,Standard,310,10.0,279.0,1116.0,5,4.3,No,295.43
100067,2025-12-12,Mumbai,Maharashtra,Succulent,1,COD,Standard,275,15.0,233.75,233.75,6,4.4,No,46.44
100068,2025-03-02,Bhopal,Madhya Pradesh,Pot,4,COD,Standard,300,0.0,300.0,1200.0,5,5.0,No,246.23
100069,2023-08-05,Nagpur,Maharashtra,Flowering Plant,4,UPI,Standard,600,5.0,570.0,2280.0,3,5.0,No,609.44
100070,2025-02-02,Bhopal,Madhya Pradesh,Tool,1,UPI,Standard,427,25.0,320.25,320.25,5,4.6,No,59.22
100071,2023-07-07,Bhopal,Madhya Pradesh,Succulent,3,Card,Standard,254,0.0,254.0,762.0,3,5.0,No,147.38
100072,2024-01-15,Chennai,Tamil Nadu,Tool,4,Card,Express,546,15.0,464.09999999999997,1856.3999999999999,1,3.7,No,579.44
100073,2024-05-07,Bengaluru,Karnataka,Indoor Plant,3,COD,Express,423,5.0,401.84999999999997,1205.55,1,3.2,No,307.74
100074,2025-11-30,Pune,Maharashtra,Outdoor Plant,4,UPI,Standard,560,10.0,504.0,2016.0,4,4.2,No,371.53
